protocol,construction_stage,stage_valid,stage_complete,condition,context,attempt_id,repair_parent,schema_valid,backend_schema_valid,canonical_valid,mechanically_usable,quality_supported_direct_reference,quality_incorrect_binding,quality_unsupported_qualification,quality_unresolved,contextual_true_positive_count,contextual_false_positive_count,contextual_false_negative_count,contextual_precision_denominator,contextual_recall_denominator,structure_valid,scientific_accepted,strict_precision,strict_recall,strict_f1,node_f1,essential_temporal_accuracy,grounding_precision,citation_validity,rare_pivotal_recall,rare_support_path_survival,acceptance_gated_strict_f1,finish_reason,input_tokens,prepared_input_tokens,output_tokens,output_allowance,request_seconds,failure,transport_complete,http_status,request_transmitted,json_complete,failure_stage,generation_object_budget_valid,grounding_unresolved_count,description_unresolved_count
,,,,C0,1,c0-attempt-ef2a20b4e74c07372e81,,True,,True,,,,,,,,,,,True,False,0.5,0.6666666666666666,0.5714285714285715,0.888888888888889,0.6666666666666666,0.5,1.0,1.0,0.0,,,0,,0,,,Exploratory source/description assessment includes unresolved matches; see HTML,,,,,,,,
,,,,C0,2,c0-attempt-9857ed592d5f541f1aac,,True,,True,,,,,,,,,,,True,False,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.47058823529411764,0.14285714285714285,0.07142857142857142,1.0,,,,,0,,0,,,Exploratory source/description assessment includes unresolved matches; see HTML,,,,,,,,
single-response-development,,,,C1,,nested-development-demonstration-20260908-attempt-01,,,,,,,,,,,,,,,,False,,,,,,,,,,,length,7603,7603,4096,4096,94.651674,vLLM response is not one guided JSON choice,True,200,True,False,transport_or_decoding,,,
single-response-development,,,,C2,1,nested-development-demonstration-20260908-attempt-02,,,,,,,,,,,,,,,,False,,,,,,,,,,0.0,length,7839,7839,4096,4096,102.006076,vLLM response is not one guided JSON choice,True,200,True,False,transport_or_decoding,,,
single-response-development,,,,C2,2,nested-development-demonstration-20260908-attempt-03,,,,,,,,,,,,,,,,False,,,,,,,,,,0.0,length,7827,7827,4096,4096,86.300878,vLLM response is not one guided JSON choice,True,200,True,False,transport_or_decoding,,,
single-response-development,,,,C1,,nested-development-demonstration-20260908-attempt-05,nested-development-demonstration-20260908-attempt-01,,,,,,,,,,,,,,,False,,,,,,,,,,,,,6895,,5120,1.2170287277549505,server emitted a streaming error event,,200,True,False,decoding,,,
single-response-development,,,,C2,1,nested-development-demonstration-20260908-attempt-06,nested-development-demonstration-20260908-attempt-02,,,,,,,,,,,,,,,False,,,,,,,,,,0.0,length,7142,7142,5120,5120,141.03526557423174,vLLM response is not one guided JSON choice,True,200,True,False,decoding,,,
single-response-development,,,,C2,2,nested-development-demonstration-20260908-attempt-07,nested-development-demonstration-20260908-attempt-03,,,,,,,,,,,,,,,False,,,,,,,,,,0.0,length,7130,7130,5120,5120,112.372858366929,vLLM response is not one guided JSON choice,True,200,True,False,decoding,,,
staged-development-v1,A,False,False,C1,,nested-development-demonstration-20260908-attempt-08,,,,,,,,,,,,,,,,False,,,,,,,,,,,length,5996,5996,5120,5120,143.16094819642603,vLLM response is not one guided JSON choice,True,200,True,False,decoding,,,
staged-development-v1,A,False,False,C2,1,nested-development-demonstration-20260908-attempt-09,,,,,,,,,,,,,,,,False,,,,,,,,,,,length,5824,5824,5120,5120,90.64644331205636,vLLM response is not one guided JSON choice,True,200,True,False,decoding,,,
